FoodID,FoodName,Alcohol,Carbohydrates,Calcium,Cholesterol,Calories,Kilojules,Fattotal,Glucose,Iron,Lactose,Magnesium,Potassium,Selenium,Sodium,Starchtotal,Sugarstotal,Water,Zinc
A160,"Bread, mixed grain & seed, sliced, prepacked, Sunflower & Barley, Burgen & Vogel's, lower North Island",0,35.01,99.2,0,244.1,1028.38,7.23,0,1.59,0.84,40.7,208,3.95,367,32.32,2.69,43.54,1.19
A161,"Bread, mixed grain & seed, sliced, prepacked, Sunflower & Barley, Burgen & Vogel's, South Island",0,35.16,101.0,0,234.89,991.16,5.71,0,1.62,0.86,41.5,212,4.8,374,32.41,2.75,42.42,1.21
A162,"Bread, mixed grain & seed, sliced, prepacked, Soy & Linseed, Burgen & Vogel's, lower North Island",0,30.24,121.0,0,241.47,1016.94,7.43,0,1.82,0.61,55.6,293,3.78,414,26.45,3.79,42.8,1.32
A163,"Bread, mixed grain & seed, sliced, prepacked, Soy & Linseed, Burgen & Vogel's, South Island",0,28.36,120.0,0,224.55,946.38,6.36,0,1.8,0.6,55.1,290,3.7,411,24.61,3.75,43.32,1.3
A164,"Bread, wholemeal, sliced, prepacked, Wheatmeal, Nature's Fresh, Quality Bakers, lower North Island",0,42.22,99.1,0,218.14,925.17,1.55,0,1.88,0,49,209,3.82,532,39.3,2.92,39.21,1.36
A165,"Bread, wholemeal, sliced, prepacked, Wheatmeal, Nature's Fresh, Quality Bakers, South Island",0,40.27,94.7,0,218.4,925.19,2.42,0,1.79,0,46.9,199,0.69,509,37.48,2.79,41.91,1.3
A166,"Bread, wheat, white, sliced, prepacked, composite, lower North Island",0,48.73,96.0,0,241.84,1025.9,1.54,0,1.0,0,24,110,2.25,510,46.93,1.8,38.98,0.8
A167,"Bread, wheat, white, sliced, prepacked, composite, South Island",0,48.73,96.0,0,241.84,1025.9,1.54,0,1.0,0,24,110,0.72,510,46.93,1.8,38.98,0.8
A168,"Bread, wheat, white, high fibre, sliced, prepacked, Mighty White, Tip Top & Fibre White, Natures Fresh, Quality Barkers, lower North Island",0,48.92,86.9,0,242.42,1028.39,1.52,0,2.2,0,24,110,1.95,469,45.97,2.95,39.26,1.3
A169,"Bread, wheat, white, high fibre, sliced, prepacked, Mighty White, Tip Top & Fibre White, Natures Fresh, Quality Barkers, South Island",0,48.92,86.9,0,242.42,1028.39,1.52,0,2.2,0,24,110,2.07,469,45.97,2.95,39.26,1.3
A170,"Bread, currant, sliced, prepacked, composite, lower North Island",0,55.51,125.0,12,269.8,1144.93,1.38,7.76,2.42,0,31.4,314,4.23,340,37.28,18.23,27.23,1.67
A171,"Bread, currant, sliced, prepacked, Spicy Fruit, Tip Top & Natures Fresh, Quality Bakers, South Island",0,55.51,125.0,12,269.8,1144.93,1.38,7.76,2.42,0,31.4,314,1.9,340,37.28,18.23,27.23,1.67
A178,"Bread roll, mixed grain, commercial, upper North Island",0,47.51,58.0,0,256.34,1086.3,2.52,0,1.4,0,43,160,3.35,440,46.17,1.34,32.43,1.3
A179,"Bread roll, mixed grain, commercial, lower North Island",0,47.5,58.0,0,256.21,1085.76,2.51,0,1.4,0,43,160,3.25,440,46.16,1.34,32.43,1.3
A18,"Bread, wheat, white, sliced, prepacked, composite, upper North Island",0,48.72,96.0,0,242.03,1026.69,1.54,0,1.0,0,24,110,4,510,46.92,1.8,38.98,0.8
A180,"Bread roll, mixed grain, commercial, South Island",0,47.5,58.0,0,256.21,1085.76,2.51,0,1.4,0,43,160,2.15,440,46.16,1.34,32.43,1.3
A181,"Bread roll, currant, commercial, upper North Island",0,57.29,74.5,12,271.67,1152.81,1.43,7.3,1.67,0,27.7,202,2.5,373,39.24,18.05,34.06,1.03
A182,"Bread roll, currant, commercial, lower North Island",0,57.29,74.5,12,271.9,1153.78,1.43,7.3,1.67,0,27.7,202,1.61,373,39.24,18.05,34.06,1.03
A183,"Bread roll, currant, commercial, South Island",0,57.29,74.5,12,271.9,1153.78,1.43,7.3,1.67,0,27.7,202,2.73,373,39.24,18.05,34.06,1.03
